bill_depth,mass
18.7,3750
17.4,3800
18,3250
19.3,3450
20.6,3650
17.8,3625
19.6,4675
18.1,3475
20.2,4250
17.1,3300
17.3,3700
17.6,3200
21.2,3800
21.1,4400
17.8,3700
19,3450
20.7,4500
18.4,3325
21.5,4200
18.3,3400
18.7,3600
19.2,3800
18.1,3950
17.2,3800
18.9,3800
18.6,3550
17.9,3200
18.6,3150
18.9,3950
16.7,3250
18.1,3900
17.8,3300
18.9,3900
17,3325
21.1,4150
20,3950
18.5,3550
19.3,3300
19.1,4650
18,3150
18.4,3900
18.5,3100
19.7,4400
16.9,3000
18.8,4600
19,3425
18.9,2975
17.9,3450
21.2,4150
17.7,3500
18.9,4300
17.9,3450
19.5,4050
18.1,2900
18.6,3700
17.5,3550
18.8,3800
16.6,2850
19.1,3750
16.9,3150
21.1,4400
17,3600
18.2,4050
17.1,2850
18,3950
16.2,3350
19.1,4100
16.6,3050
19.4,4450
19,3600
18.4,3900
17.2,3550
18.9,4150
17.5,3700
18.5,4250
16.8,3700
19.4,3900
16.1,3550
19.1,4000
17.2,3200
17.6,4700
18.8,3800
19.4,4200
17.8,3350
20.3,3550
19.5,3800
18.6,3500
19.2,3950
18.8,3600
18,3550
18.1,4300
17.1,3400
18.1,4450
17.3,3300
18.9,4300
18.6,3700
18.5,4350
16.1,2900
18.5,4100
17.9,3725
20,4725
16,3075
20,4250
18.6,2925
18.9,3550
17.2,3750
20,3900
17,3175
19,4775
16.5,3825
20.3,4600
17.7,3200
19.5,4275
20.7,3900
18.3,4075
17,2900
20.5,3775
17,3350
18.6,3325
17.2,3150
19.8,3500
17,3450
18.5,3875
15.9,3050
19,4000
17.6,3275
18.3,4300
17.1,3050
18,4000
17.9,3325
19.2,3500
18.5,3500
18.5,4475
17.6,3425
17.5,3900
17.5,3175
20.1,3975
16.5,3400
17.9,4250
17.1,3400
17.2,3475
15.5,3050
17,3725
16.8,3000
18.7,3650
18.6,4250
18.4,3475
17.8,3450
18.1,3750
17.1,3700
18.5,4000
13.2,4500
16.3,5700
14.1,4450
15.2,5700
14.5,5400
13.5,4550
14.6,4800
15.3,5200
13.4,4400
15.4,5150
13.7,4650
16.1,5550
13.7,4650
14.6,5850
14.6,4200
15.7,5850
13.5,4150
15.2,6300
14.5,4800
15.1,5350
14.3,5700
14.5,5000
14.5,4400
15.8,5050
13.1,5000
15.1,5100
14.3,4100
15,5650
14.3,4600
15.3,5550
15.3,5250
14.2,4700
14.5,5050
17,6050
14.8,5150
16.3,5400
13.7,4950
17.3,5250
13.6,4350
15.7,5350
13.7,3950
16,5700
13.7,4300
15,4750
15.9,5550
13.9,4900
13.9,4200
15.9,5400
13.3,5100
15.8,5300
14.2,4850
14.1,5300
14.4,4400
15,5000
14.4,4900
15.4,5050
13.9,4300
15,5000
14.5,4450
15.3,5550
13.8,4200
14.9,5300
13.9,4400
15.7,5650
14.2,4700
16.8,5700
14.4,4650
16.2,5800
14.2,4700
15,5550
15,4750
15.6,5000
15.6,5100
14.8,5200
15,4700
16,5800
14.2,4600
16.3,6000
13.8,4750
16.4,5950
14.5,4625
15.6,5450
14.6,4725
15.9,5350
13.8,4750
17.3,5600
14.4,4600
14.2,5300
14,4875
17,5550
15,4950
17.1,5400
14.5,4750
16.1,5650
14.7,4850
15.7,5200
15.8,4925
14.6,4875
14.4,4625
16.5,5250
15,4850
17,5600
15.5,4975
15,5500
13.8,4725
16.1,5500
14.7,4700
15.8,5500
14,4575
15.1,5500
15.2,5000
15.9,5950
15.2,4650
16.3,5500
14.1,4375
16,5850
15.7,4875
16.2,6000
13.7,4925
14.3,4850
15.7,5750
14.8,5200
16.1,5400
17.9,3500
19.5,3900
19.2,3650
18.7,3525
19.8,3725
17.8,3950
18.2,3250
18.2,3750
18.9,4150
19.9,3700
17.8,3800
20.3,3775
17.3,3700
18.1,4050
17.1,3575
19.6,4050
20,3300
17.8,3700
18.6,3450
18.2,4400
17.3,3600
17.5,3400
16.6,2900
19.4,3800
17.9,3300
19,4150
18.4,3400
19,3800
17.8,3700
20,4550
16.6,3200
20.8,4300
16.7,3350
18.8,4100
18.6,3600
16.8,3900
18.3,3850
20.7,4800
16.6,2700
19.9,4500
19.5,3950
17.5,3650
19.1,3550
17,3500
17.9,3675
18.5,4450
17.9,3400
19.6,4300
18.7,3250
17.3,3675
16.4,3325
19,3950
17.3,3600
19.7,4050
17.3,3350
18.8,3450
16.6,3250
19.9,4050
18.8,3800
19.4,3525
19.5,3950
16.5,3650
17,3650
19.8,4000
18.1,3400
18.2,3775
19,4100
18.7,3775
